"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Sammy Sosa","Cubs","478","121","35","80","56","133",".253",".849","2.3","0","302"
"Mike Sweeney","Royals","411","118","22","79","33","44",".287",".851","0.7","3","634"
"Russell Branyan","Brewers","158","37","11","27","20","68",".234",".849","0.9","1","370"
"Magglio Ordonez","White Sox","202","59","9","37","16","22",".292",".836","0.6","0","248"
"Terry Tiffee","Twins","44","12","2","8","3","3",".273",".833","0.3","0","2160"
"Bucky Jacobsen","Mariners","160","44","9","28","14","47",".275",".835","0.5","0","2368"
"Derek Jeter","Yankees","643","188","23","78","46","99",".292",".823","4.7","23","826"
"Wily Mo Pena","Reds","336","87","26","66","22","108",".259",".843","1.9","5","344"
"Jarrod Washburn","Angels","5","2","0","1","0","0",".400",".800","0.1","0","40"
"Damon Hollins","Braves","22","8","0","5","0","4",".364",".818","0.1","0","1919"
"Juan Rivera","Expos","391","120","12","49","34","45",".307",".829","1.4","6","843"
"Julio Franco","Braves","320","99","6","57","36","68",".309",".818","1.2","4","87"
"Marcus Thames","Tigers","165","42","10","33","16","42",".255",".835","1.5","0","1523"
"Jason Kendall","Pirates","574","183","3","51","60","41",".319",".789","4.5","11","993"
"David Bell","Phillies","533","155","18","77","57","75",".291",".821","3.6","1","1108"
"Jorge Piedra","Rockies","91","27","3","10","5","19",".297",".824","0.2","0","2211"
"Jayson Werth","Dodgers","290","76","16","47","30","85",".262",".825","2.4","4","1327"
"Eric Bruntlett","Astros","52","13","4","8","7","13",".250",".847","0.4","4","1753"
"David Newhan","Orioles","373","116","8","54","27","72",".311",".814","2.1","11","2009"
"Calvin Pickering","Royals","122","30","7","26","18","42",".246",".838","0.1","0","208"
"Hee Seop Choi","- - -","343","86","15","46","63","96",".251",".819","1.2","1","270"
"Rick Ankiel","Cardinals","1","0","0","0","1","1",".000",".500","0.0","0","1142"
"Ray Olmedo","Reds","1","0","0","0","1","0",".000",".500","0.0","0","1718"
"Jeremy Griffiths","Astros","1","0","0","0","1","1",".000",".500","0.0","0","1731"
"Jose Vidro","Expos","412","121","14","60","49","43",".294",".821","0.8","3","802"
"Pat Burrell","Phillies","448","115","24","84","78","130",".257",".821","2.0","2","949"
"Bill Mueller","Red Sox","399","113","12","57","51","56",".283",".811","1.1","2","295"
"Andruw Jones","Braves","570","149","29","91","71","147",".261",".833","5.3","6","96"
"Jamie Burke","White Sox","120","40","0","15","10","13",".333",".795","1.1","0","6"
"Raul Ibanez","Mariners","481","146","16","62","36","72",".304",".825","3.0","1","607"
"Tino Martinez","Devil Rays","458","120","23","76","66","72",".262",".823","1.7","3","1168"
"Juan Uribe","White Sox","502","142","23","74","32","96",".283",".833","3.5","9","454"
"Craig Monroe","Tigers","447","131","18","72","29","79",".293",".824","2.4","3","1464"
"Andres Blanco","Royals","60","19","0","5","5","6",".317",".795","0.6","1","1907"
"Ramon Hernandez","Padres","384","106","18","63","35","45",".276",".818","3.1","1","918"
"Eric Byrnes","Athletics","569","161","20","73","46","111",".283",".814","3.6","17","905"
"Corey Koskie","Twins","422","106","25","71","49","103",".251",".837","2.5","9","738"
"Steve Finley","- - -","628","170","36","94","61","82",".271",".823","2.3","9","54"
"Adam LaRoche","Braves","324","90","13","45","27","78",".278",".821","0.8","0","1904"
"Shawn Green","Dodgers","590","157","28","86","71","114",".266",".811","2.2","5","651"
"Jason Lane","Astros","136","37","4","19","16","33",".272",".812","0.8","1","1397"
"Brady Clark","Brewers","353","99","7","46","53","48",".280",".782","1.8","15","1398"
"Cliff Floyd","Mets","396","103","18","63","47","103",".260",".814","1.2","11","518"
"Shea Hillenbrand","Diamondbacks","562","174","15","80","24","49",".310",".812","0.8","2","196"
"Michael Barrett","Cubs","456","131","16","65","33","64",".287",".826","2.3","1","762"
"Craig Biggio","Astros","633","178","24","63","40","94",".281",".806","1.3","7","549"
"Lou Collier","Phillies","36","10","1","4","5","10",".278",".770","-0.1","1","1438"
"Vernon Wells","Blue Jays","536","146","23","67","51","83",".272",".809","4.0","9","1326"
"Todd Walker","Cubs","372","102","15","50","43","52",".274",".820","1.7","0","359"
"Carlos Pena","Tigers","481","116","27","82","70","146",".241",".810","2.0","7","934"
"Todd Greene","Rockies","195","55","10","35","13","38",".282",".833","0.2","0","1450"
"Matt Lawton","Indians","591","164","20","70","74","84",".277",".787","0.6","23","390"
"Bernie Williams","Yankees","561","147","22","70","85","96",".262",".795","-0.2","1","857"
"Eric Valent","Mets","270","72","13","34","28","61",".267",".818","0.4","0","1629"
"Dmitri Young","Tigers","389","106","18","60","33","71",".272",".816","1.2","0","505"
"Jimmy Rollins","Phillies","657","190","14","73","57","73",".289",".803","5.0","30","971"
"Keith Ginter","Brewers","386","101","19","60","37","100",".262",".812","1.8","8","1500"
"Kevin Youkilis","Red Sox","208","54","7","35","33","45",".260",".780","1.5","0","1935"
"Jeff DaVanon","Angels","285","79","7","34","46","54",".277",".790","2.1","18","1440"
"Jorge Cantu","Devil Rays","173","52","2","17","9","44",".301",".803","0.9","0","2521"
"Milton Bradley","Dodgers","516","138","19","67","71","123",".267",".786","3.3","15","369"
"Jason Kubel","Twins","60","18","2","7","6","9",".300",".792","0.0","1","2161"
"Charles Thomas","Braves","236","68","7","31","21","45",".288",".813","2.0","3","2962"
"Gary Matthews Jr.","Rangers","280","77","11","36","33","64",".275",".811","2.2","5","153"
"Juan Pierre","Marlins","678","221","3","49","45","35",".326",".781","4.0","45","443"
"Jerry Hairston","Orioles","287","87","2","24","29","29",".303",".775","1.1","13","144"
"B.J. Surhoff","Orioles","343","106","8","50","30","46",".309",".785","1.6","2","117"
"Junior Spivey","Brewers","228","62","7","28","25","48",".272",".780","1.3","5","74"
"Matt Stairs","Royals","439","117","18","66","49","92",".267",".796","-0.8","1","1384"
"Scott Hatteberg","Athletics","550","156","15","82","72","48",".284",".787","1.2","0","916"
"Torii Hunter","Twins","520","141","23","81","40","101",".271",".805","2.6","21","731"
"Jason Michaels","Phillies","299","82","10","40","42","80",".274",".779","1.4","2","1399"
"Mike Piazza","Mets","455","121","20","54","68","78",".266",".806","0.5","0","893"
"Luis Gonzalez","Rockies","322","94","12","40","15","67",".292",".799","-0.9","1","1860"
